0,0.0,0,0,0,0,0.3,0.3,0.0,0,0,0,0,0.3,0.3,0.1,0,0,0.7,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.2,0.2,0.0,0.0,0.125,0.0,0.0,0.3,0.3,0.3,0.1,0.1,0.65
1,0.0,0,0,0,0,0.0,0.4,0.0,0,0,0,0,0.0,0.4,0.4,0,0,0.4,0.506,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.477,0.1,0.151,0.0,0.0,0.0,0.619,0.619,0.371,0.371,0.0,0.0,0.125,0.0,0.0,0.2,0.7,0.7,0.1,0.1,0.627
2,0.0,0,0,0,0,0.0,0.1,0.0,0,0,0,0,0.0,0.1,0.4,0,0,0.7,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.3,0.3,0.3,0.0,0.0,0.1,0.0,0.0,0.05,0.3,0.3,0.2,0.2,0.2
3,0.0,0,0,0,0,0.0,0.5,0.0,0,0,0,0,0.0,0.5,0.0,0,0,0.7,0.1,0.2,0.125,0.25,0.25,0.25,0.25,0.0,0.0,0.2,0.2,0.4,0.4,0.0,0.0,0.0,0.125,0.2,0.2,0.2,0.2,0.25,0.25,0.0,0.0,0.25,0.2,0.2,0.4,0.7,0.7,0.2,0.2,0.3
4,0.1,0,0,0,0,0.0,0.5,0.1,0,0,0,0,0.0,0.5,0.0,0,0,0.2,1.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1,0.0
5,0.0,0,0,0,0,0.2,0.8,0.0,0,0,0,0,0.2,0.8,0.0,0,0,0.4,0.5,0.3,0.2,0.1,0.1,0.3,0.3,0.0,0.0,0.5,0.5,0.4,0.4,0.05,0.4,0.0,0.57,0.4,0.4,0.5,0.5,0.3,0.3,0.25,0.25,0.5,0.25,0.25,0.3,0.4,0.4,0.25,0.25,0.2
6,0.05,0,0,0,0,0.0,0.0,0.05,0,0,0,0,0.0,0.0,0.0,0,0,0.6,0.0,0.3,0.0,0.2,0.2,0.4,0.4,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2
7,0.0,0,0,0,0,0.0,0.1,0.0,0,0,0,0,0.0,0.1,0.0,0,0,0.1,0.0,0.0,0.5,0.0,0.0,0.1,0.1,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.4,0.4,0.55,0.55,0.0,0.0,0.3,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.2
8,0.0,0,0,0,0,0.2,0.8,0.0,0,0,0,0,0.2,0.8,0.0,0,0,0.4,0.5,0.3,0.2,0.1,0.1,0.3,0.3,0.0,0.0,0.5,0.5,0.4,0.4,0.05,0.4,0.0,0.57,0.4,0.4,0.5,0.5,0.3,0.3,0.25,0.25,0.5,0.25,0.25,0.3,0.4,0.4,0.25,0.25,0.2
9,0.0,0,0,0,0,0.2,0.8,0.0,0,0,0,0,0.2,0.8,0.0,0,0,0.4,0.5,0.3,0.2,0.1,0.1,0.3,0.3,0.0,0.0,0.5,0.5,0.4,0.4,0.05,0.4,0.0,0.57,0.4,0.4,0.5,0.5,0.3,0.3,0.25,0.25,0.5,0.25,0.25,0.3,0.4,0.4,0.25,0.25,0.2
10,0.1,0,0,0,0,0.1,0.0,0.1,0,0,0,0,0.1,0.0,0.27,0,0,0.5,0.8,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.45,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
11,0.0,0,0,0,0,0.2,0.8,0.0,0,0,0,0,0.2,0.8,0.0,0,0,0.4,0.5,0.3,0.2,0.1,0.1,0.3,0.3,0.0,0.0,0.5,0.5,0.4,0.4,0.05,0.4,0.0,0.57,0.4,0.4,0.5,0.5,0.3,0.3,0.25,0.25,0.5,0.25,0.25,0.3,0.4,0.4,0.25,0.25,0.2
12,0.05,0,0,0,0,0.0,0.0,0.05,0,0,0,0,0.0,0.0,0.0,0,0,0.6,0.0,0.3,0.0,0.2,0.2,0.4,0.4,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2
13,0.05,0,0,0,0,0.2,0.7,0.05,0,0,0,0,0.2,0.7,0.0,0,0,0.55,1.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.2,0.1,0.22,0.195,0.0,0.509,0.509,0.6,0.6,0.721,0.721,0.2,0.2,0.3,0.1,0.1,0.0,0.4,0.4,0.4,0.4,0.337
14,0.0,0,0,0,0,0.2,0.8,0.0,0,0,0,0,0.2,0.8,0.0,0,0,0.4,0.5,0.3,0.2,0.1,0.1,0.3,0.3,0.0,0.0,0.5,0.5,0.4,0.4,0.05,0.4,0.0,0.57,0.4,0.4,0.5,0.5,0.3,0.3,0.25,0.25,0.5,0.25,0.25,0.3,0.4,0.4,0.25,0.25,0.2
